participation,dataset,elicitation_selections
63,movies,"[5548, 9516, 3043, 2254, 9248]"
61,movies,"[491, 15111, 2227, 4506, 8647, 1, 14380, 10202, 5853, 7419, 2763, 6452, 9955, 2973, 7538, 4128, 7651, 4882, 3701, 10206, 2433, 7395, 8906, 14139, 10186, 2110, 2472, 3587, 5058, 14608, 9647, 13673, 15175, 12409]"
62,movies,"[1022, 293, 9267, 15137, 6387, 3738, 587, 765, 15220]"
64,movies,"[12439, 8907, 6179, 2250, 2983]"
67,movies,"[245, 4691, 3198, 9494, 2093, 6247, 6387, 1681, 13685]"
65,movies,"[3942, 2433, 6436, 3367, 3825, 2486, 12794, 15543, 8135, 13063, 7783, 9168, 14273, 10196]"
66,movies,"[12032, 6387, 755, 1209, 9706, 6866, 0, 15196, 3180, 7919]"
69,movies,"[507, 5916, 2973, 7996, 300, 14830, 10906, 4682, 5524, 8261, 5454]"
72,movies,"[5155, 9676, 118, 771, 1723, 4670, 8737, 15477, 7376]"
71,movies,"[2243, 6707, 3576, 300, 7787, 1816, 9647, 10487, 2198, 3738]"
73,movies,"[13794, 7058, 14599, 1978, 6356, 13176, 5086, 4117, 2653, 2110]"
74,movies,"[8907, 5098, 12259, 4128, 13382]"
80,movies,"[10187, 3788, 5707, 696, 5945, 1435, 1240, 13176]"
79,movies,"[5707, 2433, 7099, 2790, 13758]"
82,movies,"[2066, 3948, 5668, 743, 1348, 9907, 3605, 1210, 8042, 8864, 2839, 1310, 10906, 2342, 1365, 8417, 7962, 9719]"
81,movies,"[492, 1721, 4015, 4691, 1629, 2796, 2987, 916, 7103, 1442, 7538, 1386, 1242, 5937, 7022, 3416, 1816, 258, 8543, 9444, 2984]"
85,movies,"[2486, 1209, 467, 3470, 3695, 13051, 3604, 9811, 11212, 29, 7022, 5151, 6892, 2179, 2973]"
88,movies,"[8898, 7538, 6556, 1182, 1723]"
87,movies,"[3605, 3825, 8864, 9989, 13740, 4015, 8569, 2433, 8844, 7386, 6417, 1046]"
89,movies,"[10846, 7193, 2433, 9989, 9267]"
90,movies,"[2837, 1816, 6728, 1049, 3693, 10209]"
91,movies,"[9057, 1365, 2790, 5826, 245, 5881, 446, 6791, 2198, 1532, 8647, 2973, 293, 3948, 1022, 2110, 1630, 5230, 6636, 258, 9493, 495, 9811, 8390, 3222, 3788]"
93,movies,"[5180, 6942, 13022, 10034, 587, 10270, 10189]"
94,movies,"[3948, 0, 9444, 7850, 4009, 5166, 2973, 6704, 2911, 3416, 7651]"
95,movies,"[1568, 11845, 8781, 7543, 8740, 9248, 7580, 3250, 1414, 4647, 5289, 8254, 3257, 4086, 9267, 12401, 14244, 2837, 3198, 4052, 6007, 8717, 1207, 1374, 743, 1186, 6417, 8301, 7784, 3756, 2861, 2400, 3708]"
96,movies,"[300, 7478, 6824, 929, 14661]"
98,movies,"[11261, 4662, 805, 1592, 3013, 4920, 4145]"
99,movies,"[9057, 13279, 4768, 9676, 7349, 5561, 1425, 15402, 300]"
102,movies,"[7632, 302, 8982, 11070, 2037, 300, 8060, 9459, 7651, 1218, 6153, 8086, 14395, 14644, 4016, 7800, 10199, 6452, 8095, 9207, 6729, 7039, 9402, 8673, 7783, 9038, 9816, 10921, 13698]"
100,movies,"[2433, 9267, 6791, 12886, 4662, 6027, 13989, 2973, 3416, 14412, 1723, 12889, 14908, 1630, 9989, 5881, 245, 5552, 401, 9516, 8369, 10195, 8730, 9499, 2796, 10846, 1800, 0, 3421, 3693, 2198, 7232, 13864, 13758, 5224, 2763, 9057, 1076, 9123, 10185, 3628, 1030, 15098, 15327, 15281, 3888, 1304, 2790, 15220, 14279, 8700, 5086, 7519, 13298, 3942, 5474, 7652, 2807, 503, 58, 1055, 8492, 1532, 172]"
103,movies,"[923, 10190, 3047, 587, 1967, 705, 7793, 490, 2042, 5070, 526, 9429, 14503, 290]"
104,movies,"[401, 4717, 1030, 5356, 9392]"
105,movies,"[9609, 10195, 9267, 11744, 14757, 3161, 3948, 4882, 5524, 7193, 6452, 7538]"
108,movies,"[3609, 9057, 5826, 2243, 6025, 3797, 13132, 1723, 12694, 2426, 5393, 7961]"
106,movies,"[10195, 2433, 5896, 9057, 3514, 5009, 9248, 3416, 5951, 4946, 5099, 10202]"
109,movies,"[2433, 1532, 8095, 9516, 8390, 9001, 3367, 762, 8369]"
111,movies,"[7724, 5881, 8647, 9516, 10202, 12979, 12447, 12644, 1218]"
113,movies,"[5356, 1816, 1582, 804, 5916, 13298, 1403, 5618, 300, 10195, 489]"
114,movies,"[9512, 13963, 5098, 7023, 8846, 13284]"
115,movies,"[9002, 7022, 15259, 9719, 3576, 293, 9494]"
116,movies,"[8098, 10921, 745, 6877, 300, 7479]"
118,movies,"[4897, 2400, 5106, 7193, 5826, 3198, 5627]"
117,movies,"[13038, 15338, 3576, 495, 3198, 281, 13540, 2110, 9516, 8503]"
120,movies,"[2254, 245, 420, 58, 850, 3942, 5752, 6636, 13963, 975, 10906, 3707, 33, 13845, 13429, 5524, 1558, 8067, 3323, 9248]"
121,movies,"[11212, 10185, 9516, 6387, 6343, 5356, 13063, 4125, 10195, 8730]"
122,movies,"[3576, 13597, 687, 6343, 1532, 755, 1723, 4506, 1166, 1875, 3816]"
127,movies,"[526, 2384, 15594, 5881, 3037]"
126,movies,"[6290, 6452, 6988, 2433, 5474, 8086, 762, 2702, 15133, 0, 2983, 10924, 7937, 8730, 6396, 749]"
123,movies,"[245, 759, 1532, 9267, 4086, 2384, 1996, 3576, 7022, 15137]"
129,movies,"[762, 3817, 258, 7784, 743, 1218, 6988, 12860, 293, 12030, 1022, 12886, 8369, 3161, 3000]"
125,movies,"[1386, 1022, 6177, 762, 1209, 1210, 5224, 8018, 9057, 5155, 4538, 3982]"
133,movies,"[6791, 9444, 12644, 9823, 258, 762, 1209, 13864]"
131,movies,"[5937, 1047, 3701, 6387, 5719, 3421, 9676, 5100]"
134,movies,"[762, 4662, 14408, 3367, 10925, 5467, 5476, 7193, 8730, 14659, 7058]"
135,movies,"[315, 3020, 258, 1022, 12811, 312, 9955, 6704]"
137,movies,"[9426, 3950, 4016, 6704, 9706, 9816, 7193, 5401, 3693, 8700, 1816, 8647]"
138,movies,"[5548, 7538, 2837, 8685, 293, 5393, 7232, 8137]"
136,movies,"[5503, 4128, 7783, 3348, 1365, 5081, 3701, 245, 4946, 5548, 4682, 7784, 7193, 11555, 7419, 9390, 2198, 2110, 4125, 6988, 4615, 3788, 6877, 3605, 7177, 6866, 1022, 5276, 3948, 13590]"
139,movies,"[15137, 555, 33, 12576, 7832, 9429, 387, 14107, 5826, 3359, 1594, 697, 8756, 2763, 8390, 13282, 7349, 6081, 9341]"
140,movies,"[3198, 6428, 1532, 14600, 7783, 15133, 7193, 2113]"
145,movies,"[5881, 2433, 4120, 2110, 1723, 10204, 1996, 9988, 2384, 9105, 1046, 2113, 5476]"
144,movies,"[5671, 5668, 258, 43, 3318, 13040, 15, 5733, 2839]"
146,movies,"[14690, 2433, 4662, 489, 1435, 0, 293, 2973]"
147,movies,"[1532, 2842, 9676, 6452, 1055, 401, 10846]"
150,movies,"[5401, 1532, 5098, 3216, 1039, 7023, 8685, 15061]"
148,movies,"[4009, 4128, 14416, 12016, 6145, 7753, 10257, 2911]"
152,movies,"[6945, 3616, 15594, 3102, 4646, 2656, 1039, 1763, 1716, 2426, 7022, 6452, 12032]"
151,movies,"[491, 3158, 6707, 12079, 300, 6115, 2819, 1532, 5299, 9811, 5276, 10846, 2079, 3980, 0, 771, 2486]"
154,movies,"[9857, 7022, 3779, 2839, 3980, 9811, 6177, 293]"
155,movies,"[1210, 7487, 3943, 1723, 1558, 10185, 3367, 5770, 5524, 8730, 2433, 4086, 6687, 3198, 8378]"
157,movies,"[8305, 5401, 10185, 2258, 2042, 1218, 7022, 5826, 2911, 8261, 1681, 1739]"
153,movies,"[492, 10196, 10967, 669, 1209, 4701, 293, 7699, 2254, 4015]"
156,movies,"[6387, 9459, 7538, 6704, 3198, 5476, 6866, 5149, 2911, 14647]"
159,movies,"[41, 876, 420, 8305, 6366, 3000, 5826, 10984]"
158,movies,"[15098, 11281, 15084, 13794, 6452]"
160,movies,"[5916, 7022, 12259, 697, 15625, 15137]"
163,movies,"[14661, 11763, 378, 2991, 5624, 4691]"
165,movies,"[13758, 15169, 9267, 2837, 3198, 3701, 8369, 9039, 9955]"
166,movies,"[2790, 7455, 1046, 2819, 5552, 7193, 5881, 7543, 10846, 258, 3257]"
164,movies,"[9919, 5009, 1723, 12349, 2837, 2243, 5224]"
168,movies,"[5881, 591, 5966, 8300, 3816, 13054, 2039, 10202, 401]"
167,movies,"[5772, 8369, 5881, 2344, 12383, 4051, 9039, 2984, 10399, 5699, 10925, 3198, 696, 2416, 7651, 7342, 4882, 1721, 1800, 5903, 6961, 10204, 2248, 5454, 14412, 5805, 5561, 745, 2796, 2433, 13038, 3701, 0, 8190]"
171,movies,"[2884, 9586, 1044, 467, 6221, 5699, 2433, 10846]"
170,movies,"[3158, 7517, 5826, 1284, 8305, 2023, 494, 11555]"
172,movies,"[7022, 13758, 2653, 6988, 11493, 6387, 5367, 9363, 12259]"
173,movies,"[4901, 6877, 3367, 5896, 7193, 10204, 10195, 4691, 7022, 4882, 9057, 6396, 7459, 8685, 7684]"
175,movies,"[2839, 7022, 6791, 293, 2384, 1723]"
177,movies,"[7700, 7459, 2819, 13807, 7517, 7937]"
178,movies,"[669, 7784, 10199, 6704, 4009, 1723, 1532, 5826, 7783]"
179,movies,"[9706, 245, 762, 1209, 1210]"
180,movies,"[1207, 7157, 2254, 4013, 13070, 15159]"
181,movies,"[13279, 12259, 4859, 10204, 5467, 5001, 5826]"
182,movies,"[5476, 4682, 5080, 13963, 15236, 7193, 6436]"
184,movies,"[7023, 6683, 7499, 7662, 11410, 5100, 10185, 12259, 6704, 4693, 8801, 9391, 489, 1600, 1434, 7962, 6428, 6824, 3161, 10117, 7937, 9312]"
183,movies,"[4086, 1658, 2446, 9829, 177, 9248]"
185,movies,"[15382, 3861, 5405, 5497, 5524, 5593]"
188,movies,"[4897, 4691, 2093, 1005, 745, 91, 293, 1022]"
187,movies,"[9038, 3738, 10475, 9002, 4882, 2384, 3000, 3158, 43]"
186,movies,"[9704, 8569, 8754, 8646, 5699, 1340, 8066, 6452, 6922, 13038, 6689, 5881]"
189,movies,"[5356, 13070, 7519, 1218, 3701, 12735, 1816, 4878, 7021, 12032, 6452]"
190,movies,"[5803, 5081, 3216, 6584, 1576, 2984]"
191,movies,"[3576, 13989, 258, 2651, 7455]"
193,movies,"[3888, 3129, 1746, 406, 245, 12030]"
192,movies,"[7651, 5524, 7784, 8647, 11651, 5826, 8305, 9267, 7022, 10200, 10199]"
194,movies,"[3364, 4822, 4125, 7048, 6707, 3445, 9426, 130, 7103, 302]"
197,movies,"[619, 912, 3456, 4744, 4134, 2400]"
204,books,"[53, 46, 248, 22, 20]"
203,books,"[837, 5818, 440, 1480, 17, 904, 172]"
205,books,"[1, 308, 22, 59, 32, 10, 317, 1283, 593, 33]"
210,books,"[0, 16, 19, 2, 46, 49, 53, 906]"
208,books,"[0, 37, 608, 22, 907, 1, 68, 154, 162, 217, 263, 272, 386, 494, 475, 650, 741]"
206,books,"[886, 5619, 3238, 5, 177, 805, 5061]"
207,books,"[1, 1335, 130, 265, 6440]"
211,books,"[104, 784, 671, 51, 589, 412, 290, 1579, 3460, 5890, 1787, 852, 1463, 773, 5485]"
214,books,"[48, 39, 343, 1982, 197, 2730]"
213,books,"[4513, 88, 239, 121, 144, 1469, 2641]"
215,books,"[806, 1307, 506, 1262, 394, 64]"
212,books,"[600, 44, 63, 5, 3465, 231]"
219,books,"[437, 201, 16, 37, 23]"
220,books,"[163, 112, 5601, 278, 1734]"
224,books,"[28, 123, 8, 84, 1044, 0, 5, 572, 65, 25]"
223,books,"[103, 712, 1346, 1418, 2199, 2544, 805, 185]"
225,books,"[49, 2129, 3, 2376, 7, 112, 21]"
227,books,"[25, 102, 180, 1, 2149, 6521, 22, 4410]"
228,books,"[20, 14, 1616, 40, 75, 148]"
230,books,"[16, 49, 110, 192, 91, 103, 131, 10, 230]"
229,books,"[65, 444, 3385, 167, 339]"
231,books,"[171, 22, 20, 25, 16, 39, 145, 137, 149, 161, 262, 1486, 196, 827, 572, 375, 1778, 3076, 4822, 9, 72, 59, 325, 415, 226, 495, 1690, 1068, 639, 3492, 150, 289, 804, 34, 1448, 24, 3708, 829, 1618, 2001, 1683, 2280, 3121, 4354, 3156, 3529, 5934, 3534, 594, 50, 304, 45]"
233,books,"[299, 153, 537, 12, 128]"
232,books,"[690, 12, 385, 873, 1376, 25, 238, 62, 3, 4401, 14, 3216]"
235,books,"[13, 22, 3, 5509, 831]"
234,books,"[74, 430, 994, 252, 417, 520, 3056, 3388]"
236,books,"[30, 222, 319, 95, 12, 910]"
238,books,"[81, 152, 9, 2, 3580, 11, 6535, 276, 189]"
239,books,"[3285, 306, 6, 24, 37]"
243,books,"[90, 2501, 720, 51, 1310, 5496, 1397, 17, 323, 1862]"
245,books,"[5761, 770, 5727, 812, 3000, 17, 1954]"
244,books,"[1729, 906, 2607, 3779, 4895]"
246,books,"[22, 23, 26, 282, 401, 743, 101]"
248,books,"[553, 89, 22, 1553, 472, 373, 0]"
249,books,"[5379, 103, 775, 253, 524, 5]"
254,books,"[517, 662, 5355, 12, 13, 18, 141, 147, 173]"
251,books,"[144, 147, 82, 348, 3210, 947, 6, 75, 1672, 632]"
253,books,"[4, 372, 5581, 144, 157, 407, 72, 9, 40]"
252,books,"[480, 2088, 2020, 2375, 701, 784, 1124, 5704]"
256,books,"[635, 20, 53, 24, 0, 22, 1, 141, 18, 2465, 600, 23, 17, 180, 1393, 437, 42, 26, 6536, 4182, 16]"
259,books,"[12, 1000, 2642, 104, 27, 180, 517, 88, 671, 2458, 67, 613, 505, 2293, 146, 147, 342, 175, 353, 74, 695, 2606, 26, 2448, 225, 1258, 893, 57, 17, 127, 1262]"
260,books,"[1841, 395, 3285, 1487, 3216, 96, 130]"
258,books,"[349, 26, 264, 7, 40, 154, 632, 2211, 2207, 2120, 1744, 1449, 1443, 1226, 2406, 2407, 2586, 400, 315, 96, 159, 475, 13]"
261,books,"[30, 20, 0, 38, 7, 2, 4, 470, 1515, 65, 16, 713]"
262,books,"[16, 1, 194, 3, 72]"
263,books,"[1057, 2863, 2737, 2469, 37, 6318, 913]"
265,books,"[59, 574, 5481, 5482, 5369, 12, 4413, 6214]"
264,books,"[1693, 2542, 372, 524, 51]"
266,books,"[6, 3285, 1806, 37, 2335, 0, 434]"
270,books,"[131, 302, 16, 368, 24]"
272,books,"[7, 2406, 12, 1914, 312]"
275,books,"[3270, 812, 173, 17, 130, 662, 15]"
273,books,"[0, 111, 14, 4569, 116]"
274,books,"[15, 217, 5096, 120, 2709, 175, 377, 1993]"
271,books,"[176, 197, 4749, 13, 274]"
277,books,"[15, 2297, 17, 257, 741, 503]"
276,books,"[6, 478, 485, 566, 12, 180, 9, 201]"
279,books,"[6048, 52, 33, 6059, 6271, 368, 428]"
280,books,"[177, 118, 6480, 33, 302, 2434, 6269, 2]"
281,books,"[25, 20, 3922, 124, 651, 48, 2007, 896, 5746, 741]"
282,books,"[263, 22, 0, 20, 225, 68, 5657]"
284,books,"[1628, 1111, 4383, 3410, 2577, 3790]"
285,books,"[14, 68, 226, 26, 3, 2, 305]"
290,books,"[11, 24, 467, 573, 4453, 4177, 25, 149]"
288,books,"[146, 1049, 910, 25, 42, 15, 33]"
287,books,"[289, 784, 20, 1731, 19, 145, 16]"
289,books,"[156, 23, 1, 41, 20, 22, 24, 17, 254, 33, 2097]"
291,books,"[17, 100, 6134, 244, 719, 6020]"
292,books,"[1878, 1, 1765, 343, 24, 15, 3626, 851, 6300, 2069, 109, 2226, 5742, 2434, 677, 62, 862, 1313, 1812, 3940, 70, 6432, 224, 240]"
293,books,"[5392, 24, 26, 17, 1, 3634, 75, 20, 23]"
294,books,"[5282, 2227, 498, 22, 144, 23, 24]"
295,books,"[25, 24, 350, 1, 11, 1070, 117, 201, 37]"
296,books,"[26, 671, 239, 2758, 3745, 950, 194, 1435, 122, 5338, 1009, 1]"
299,books,"[3285, 0, 16, 19, 32, 89, 92]"
297,books,"[866, 1191, 3753, 323, 12, 51, 153, 229, 67, 44]"
300,books,"[635, 22, 29, 1743, 550, 5026, 5414, 162, 546, 1009]"
298,books,"[1, 20, 859, 1092, 2301, 1680, 841]"
302,books,"[6, 2704, 23, 187, 3078, 5344, 1927]"
303,books,"[1738, 7, 3866, 19, 117]"
304,books,"[2834, 302, 2192, 23, 386, 384, 86, 576]"
305,books,"[2, 3201, 3548, 5690, 7]"
306,books,"[23, 20, 73, 0, 51, 42]"
308,books,"[26, 4137, 148, 75, 1, 110, 4, 586]"
309,books,"[22, 50, 58, 24, 37, 3719, 59]"
311,books,"[514, 2574, 4411, 603, 61, 3495, 1653, 2683, 148, 816, 431]"
313,books,"[78, 11, 762, 565, 2662, 92, 18, 20, 42, 141]"
315,books,"[531, 8, 461, 156, 51, 635]"
314,books,"[1261, 3216, 66, 203, 1003, 1610]"
316,books,"[3969, 359, 4222, 859, 1, 4314, 4, 43, 4208, 44, 2385]"
317,books,"[934, 1495, 5343, 21, 4714, 17, 44]"
318,books,"[4431, 195, 5, 197, 19, 1338, 6159]"
322,books,"[68, 158, 163, 1090, 989]"
320,books,"[12, 690, 508, 1, 0, 9]"
321,books,"[68, 1490, 3056, 524, 27, 288]"
324,books,"[275, 1032, 212, 5975, 241, 60, 38, 5782, 41]"
325,books,"[308, 23, 3919, 5318, 5543, 477]"
326,books,"[214, 437, 2651, 2335, 3630, 4842]"
328,books,"[29, 1435, 3, 2667, 37, 105, 767, 3786, 1859, 5149, 3521, 6334, 3942, 239, 5335, 5, 5021]"
329,books,"[14, 19, 13, 23, 17, 56]"
331,books,"[20, 75, 400, 784, 25, 2, 3417, 13, 386]"
332,books,"[1417, 79, 395, 562, 179, 54, 587]"
333,books,"[53, 24, 37, 2626, 4910, 4938]"
334,books,"[2, 409, 214, 922, 5582, 2383, 2514, 462]"
335,books,"[141, 20, 262, 4962, 497]"
336,books,"[201, 40, 24, 6, 4]"
2,movies,"[7962, 2842, 14172, 7193, 6169]"
3,movies,"[5881, 7787, 5524, 3701, 7538, 7194, 9516]"
4,movies,"[6110, 8569, 2790, 9057, 3566, 3198, 3948, 6704, 7850, 8256]"
5,movies,"[4682, 10846, 1014, 3830, 9267, 6984, 4016]"
6,movies,"[3825, 2918, 401, 258, 2911, 1558, 5881, 3948, 10200, 9457, 8647, 3701, 10195, 2433, 8717, 3984]"
